id,name_ko,item_id,role,materials,build_time_sec,priority
insul_wall,차열벽,insul_wall,기본 방벽 HP600,"stone:2,dirt:1",5,P0
door,단열 문,door,통행+flood-fill 밀폐 인정,"wood:6,hemp_stalk:4,ice_shard:4",30,P0
roof,차열 지붕,roof,상부 밀폐,"stone:6,rebar:3,hemp_stalk:2",20,P0
jangdok,장독 창고,jangdok,보관함 40슬롯,"dirt:10,stone:8,wood:6",45,P1
ice_core,얼음 저장고,ice_core,체온 회복 거점(코어),"ice_shard:20,stone:10,iron_ingot:2",60,P0
seokbinggo_s1,석빙고 1단 움집,,밀폐 개념·냉기원 1종,"stone:10,clay:6",30,P0
seokbinggo_s2,석빙고 2단 토굴 석빙고,,화로·장독·냉기원 상한 50%,"stone:20,clay:12,iron_ingot:2",60,P0
seokbinggo_s3,석빙고 3단 돌 석빙고,,얼음 저장고(코어)·상한 100% — 데모 승리선,"stone:30,icesteel_ingot:4",90,P0
seokbinggo_s4,석빙고 4단 서리 석빙고,,단열재 2단·전진 초소·대장간 해금,"seonge_ingot:6,icesteel_ingot:6,yokai_tear:160",120,P0
seokbinggo_s5,석빙고 5단 도관 석빙고,,냉기 도관망·한파 코어 2호기·별관,"ice_root_bundle:8,blaze_yeokrin:1,yokai_tear:320",150,P0
seokbinggo_s6,석빙고 6단 한파 석빙고,,단열재 3단·한파 코어 3호기·경계암 접속,"cold_wave_ingot:10,eop_scale_mat:1,yokai_tear:560",180,P0
