element,seals,note
차열벽,1,기본 방벽 HP600 — 밀폐 판정의 기준 요소
무쇠 차열벽,1,HP900·불가사리 면역 — 판정은 차열벽과 동일
차열 지붕,1,직사 차단(확장 용해 대응) 겸 밀폐 경계
단열 문,1,닫힘 상태만 인정. 개방 중에는 밀폐 체온 보정 일시 정지(판정은 유지) — 문풍지가 해소재(GDD 4-7)
짚 단열재 부착 벽,1,부착물은 보정 수정자 — 밀폐 판정은 바탕 벽이 결정
점토 미장 부착 벽,1,상동(HP +150 보정만)
얼음 저장고,0,모듈이라도 구조물은 벽이 아님 — 밀폐는 벽 타일 경계로만
장독 창고,0,상동
화로/용광로/얼음 모루/작업대,0,제작대는 벽 아님
일반 개구부,0,여기서 새는 것이 정상 — 누출 하이라이트(GDD 5장)가 이 지점을 짚어준다
민화 족자,0,꾸미기 5종은 전투·채집·밀폐 판정 전부 0(GDD 4-7)
색동 등롱,0,상동 — 약광원도 등불 광원 태그와 분리
옹기 화분,0,상동
풍경,0,상동
색동 방석,0,상동
보금자리,0,밀폐 인정 구역 '내에 있어야' 냥잠 기능 — 자기가 밀폐를 만들지 않는다
까치 둥지,0,상동
도깨비불 등탑/신기전 화차,0,터렛은 벽 아님
해태 석상/체/등불,0,설치물은 벽 아님
빙정 냉각로/한파 코어/냉기 장치,0,냉각 장치는 벽 아님 — 밀폐 구역 내부 효과만
자연 지형(흙·돌·암반),1,[v15 QA-F 신설] 맵의 대부분이자 최대 판정 요소인데 표에 없었다(가이드 2 3절에만 존재) — 석빙고는 반지하가 정석이라 자연 벽에 기대는 게 설계 의도
채굴 갱도(공기 칸),0,[v15 QA-F 정정] 갱도는 밀폐도를 무너뜨리지 않고 오히려 99%대로 부풀린다(구멍은 개구부 폭만 계수·갱도 1칸은 sealed 면 2개 생산) — 근본 원인은 산식이며 처방은 밀폐 창+leak 가중치(GDD 4-7·명세 8-3b)
배경벽(벽지),0,[v25 신설] 렌더 전용 레이어 — 밀폐 판정 불참. 파낸 자리·밀폐 구역 실내를 채우는 시각 요소이며 '벽'이 아니다. 밀폐가 완성돼야 채워지므로 결과의 시각 신호는 되지만 판정 입력은 아니다(GDD 8-3)
