id,name_ko,summon_item_id,summon_item_ko,summon_materials,station_id,recommended_day,hp,wall_dps_default,wall_dps_ice,wall_dps_iron_wall,contact_dmg,special_ko,drops_ko,engage_sec_check,tele_sec,shape,range_tiles,arc_deg,special_dmg_per_hit,duration_sec,tick_sec,knockback_tiles,cd_sec,fire_tag,aim_lock,mvp_scope,arena_layer,heat_stage,arena_note
king_dokkaebi,도깨비 대장,ssireum_satba,씨름 샅바,"club_shard:1,hemp_stalk:10,wood:5",workbench,~8일차(T2),13800,20,20,20,12,씨름 배치기: 예고 1f 후 잡기 12피해+넉백4·쿨8초,도깨비불 정수x1+조각x2+눈물x3,"13800/46=300초(오너 지정: 풀세팅=무쇠36+등탑10 기준. 악세는 전투 무간섭 0. 초회전은 등탑 없어 383초 고위험, T1 러시 613초>밤540 불가)",0.75,Box,2,0,12,0,0,4,8,0,1,A,surface,1,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
mother_bulgasari,어미 불가사리,iron_bait_pile,무쇠 미끼 더미,"iron_ingot:10,iron_scale:3,coal:5",furnace,20,10000,24,48,0,14,달군 콧김: 화염태그 부채꼴4타일 10/초x2초·쿨6초,무쇠 용광심x1+비늘x4+눈물x4,10000/46=217초 (오너 승인 2026-07-27: 6500→10000 · 20일 보스),1.0,Cone,4,60,10,2,1.0,0,6,1,1,B,surface,2,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
imugi_boss,이무기(30일 데모 최종보스),ice_altar_offering,얼음 제단 봉헌,"icesteel_ingot:2,frost_essence:2,ice_shard:10,yokai_tear:30",ice_anvil,30일차 고정+재소환,16000,40,40,40,18,전기 방전 예고1.5초 빠직 18피해+넉백3·쿨12초(감전 상태이상 없음·HP<66% 3x3 방전·HP<33% 호수 전체 2펄스),여의주x1+눈물x8,16000/73=219초(풀세팅 재소환 — v34 이무기 최종보스 동일 HP),1.5,Box,3,0,18,0,0,3,12,0,1,A,surface,2,지상 얼음 호수 — 구 심층 얼음 호수에서 이설(v63 오너 지시). 넉백3+낙하 피해 시너지는 지상 발판 지형으로 승계
jigwi,지귀,jigwi_summon,불씨 항아리,"seonge_ingot:2,coal:20,yokai_tear:20",smithy,40,21500,30,45,30,20,서 있던 자리가 순차 발화 — 이동이 곧 회피. 회피 구간 60초,지귀의 잉걸x1+눈물x6,21500/112=192초(딜)+60초(회피),1.5,Box,3,0,12,0,0,1,10,1,0,B,surface,3,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
gangcheol_blaze,불볕 강철이,,,,,50,21000,34,34,34,20,열기 브레스 부채꼴 확대 + 2회 연속. 회피 구간 70초 — day-curve-ext d50 고정 내습(반환점),불볕 역린x1+눈물x6,21000/116.5=180초(딜)+70초(회피),1.5,Fan,5,60,22,0,0,2,12,1,0,B,surface,3,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
sangun,산군,,,,,60,22500,0,0,0,22,"지상 전용 내습 — 도망치면 추격, 정면으로 서면 물러선다(물러설 때 딜 불가). 회피 구간 80초",산군의 발톱x1+눈물x6,22500/132.5=170초(딜)+80초(회피),1.0,Box,2,0,24,0,0,3,10,0,0,B,surface,3,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
samdugumi,삼두구미,samdugumi_summon,세 갈래 매듭,"ice_root_bundle:3,yokai_tear:24",smithy,70,22000,36,36,36,22,머리 3개가 각각 등불·체·넉백을 요구 — 카운터 전환 3회. 회피 구간 90초,세 갈래 뿔x1+눈물x7,22000/137.2=160초(딜)+90초(회피),1.5,Box,3,0,20,0,0,2,12,0,0,B,surface,3,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
eop_guryeongi,업구렁이,eop_summon,업단지,"cold_wave_ingot:2,yokai_tear:26",smithy,80,20500,0,0,0,24,플레이어 기지 안에서 시작 — 벽을 안 부수고 모듈을 하나씩 정지. 복구하는 동안 딜 0. 회피 구간 100초,업의 비늘x1+눈물x7,20500/137.2=150초(딜)+100초(회피),2.0,Box,4,0,18,0,0,1,14,0,1,B,surface,3,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
yeongno,영노,,,,,90,20000,40,40,40,24,삼킨다 — 삼켜지면 내부 약점을 부수고 나와야 한다(제한 시간). 회피 구간 110초,영노의 탈x1+눈물x8,20000/142.2=140초(딜)+110초(회피),1.5,Box,3,0,26,6,1,0,20,0,1,B,surface,3,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
gangcheol_perfect,강철이 완전체,,,,,100,22000,44,44,44,24,4페이즈 — 페이즈당 딜 39초. 회피 구간 120초(오너 지시). GDD 2장 v34 마른 궤적 복선 회수,완전체 심장x1+눈물x10,22000/142.2=155초(딜)+120초(회피)=밤 314초 앵커,1.5,Fan,6,90,28,0,0,3,12,1,0,B,surface,3,지상 제단 아레나(v63 오너 지시 — 아레나 전부 지상)
