id,kind,name_ko,source_ko,source_verified,card_front_asset,card_back_text_ko,portrait_asset,note
club,요괴,방망이 도깨비,구비 도깨비 씨름담,GDD-2장,card_club,밤길에 씨름을 걸어오는 도깨비 — 이겨도 져도 날이 새면 빗자루 한 자루만 남는다. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
bulgasari,요괴,불가사리,《송남잡지》,GDD-2장,card_bulgasari,쇠를 먹고 자라는 짐승 — 먹인 만큼 커져서 결국 아무도 못 말린다. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
yakwang,요괴,야광귀,《동국세시기》,GDD-2장,card_yakwang,설날 밤 신발을 훔쳐 가는 귀신 — 그래서 신을 방에 들이고 체를 걸어 둔다. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
eoduksini,요괴,어둑시니,어둑시니 구전,GDD-2장,card_eoduksini,쳐다볼수록 커지는 어둠 — 눈을 떼면 도로 작아진다. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
gaekgwi,요괴,객귀,민간전승,GDD-2장,card_gaekgwi,객지에서 떠도는 넋 — 문간에 붙어 들어올 틈을 노린다. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
imugi,요괴,이무기,[출처 미확인],미확인,card_imugi,[작성 대기 — 시나리오],,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. ⚠️ 출처 미검증 — 문헌명을 지어내지 말 것(v32 가짜 문헌 4건 반려 전례).
gangcheol,요괴,강철이,《성호사설》 강철,GDD-2장,card_gangcheol,지나간 자리마다 가을걷이가 봄 보릿고개가 된다는 뱀룡. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
king_dokkaebi,보스,도깨비 대장,구비 도깨비 씨름담,GDD-2장,card_king_dokkaebi,밤길에 씨름을 걸어오는 도깨비 — 이겨도 져도 날이 새면 빗자루 한 자루만 남는다. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,portrait_king_dokkaebi,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
mother_bulgasari,보스,어미 불가사리,《송남잡지》,GDD-2장,card_mother_bulgasari,쇠를 먹고 자라는 짐승 — 먹인 만큼 커져서 결국 아무도 못 말린다. 요괴는 냉기를 탐하다 얼어붙은 것을 떨군다 — 그 방울이 석빙고의 냉각 재료가 된다.,portrait_mother_bulgasari,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. 
imugi_boss,보스,이무기(30일 데모 최종보스),[출처 미확인],미확인,card_imugi_boss,[작성 대기 — 시나리오],portrait_imugi_boss,GDD 5장 4번 도감 — 카드 클릭 확대(192x256) → 한 번 더 클릭 시 뒤집혀 전승 출처 1줄. 결과 화면·도감은 HUD가 아니라 **텍스트 허용 구역**(5-메타 ④) — 2장 무스토리 원칙 위반 아님. ⚠️ 출처 미검증 — 문헌명을 지어내지 말 것(v32 가짜 문헌 4건 반려 전례).
