resource_id,name_ko,layer,depth_min,depth_max,min_claw_tier,gate_type,claw_t1_sec,claw_t2_sec,claw_t3_sec,freq_per_100tiles,use_ko,gate_ko,hardness,breakable_t1,breakable_t2,breakable_t3,hardness_note
wood,나무,지상(밤),0,0,1,none,1.5,0.75,0.4,8,등불·체·단열 문·장독 창고·도깨비 방망이,없음(발톱=신체 — 분실 없음),1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
hemp_stalk,삼줄기,지상(밤),0,0,1,none,0.5,0.25,0.25,10,체·등불 심지·단열 문·차열 지붕,없음,1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
rebar,철근,지상 폐허(밤),0,0,1,none,2.0,1.0,0.5,6,차열 지붕(반복 소비),없음,1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
dirt,흙,지하 상층 T1,1,45,1,none,1.0,0.5,0.25,45,작업대·화로·차열벽·장독 창고,맨발톱,1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
stone,돌,지하 상층 T1,1,45,1,none,1.0,0.5,0.25,25,작업대·화로·차열벽·해태 석상,맨발톱,1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
coal,석탄,지하 상층 T1,1,45,1,none,1.6,0.8,0.4,8,등불 연료(1개=270초·밤당 2개),맨발톱,1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
iron_ore,철 광석,지하 중층 T2,46,90,1,soft,3.0,1.5,0.75,18,화로 제련→철 주괴(발톱·모루·차열벽),맨발톱 저속(소프트),1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=soft — 소프트 게이트라 T1도 느리게 캔다
copper_ore,구리 광석,지하 중층 T2,46,90,1,soft,3.0,1.5,0.75,12,화로 제련→구리 주괴(해태·냉기 장치),맨발톱 저속(소프트),1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=soft — 소프트 게이트라 T1도 느리게 캔다
ice_shard,얼음 조각,지하 중층 T2,46,90,1,none,2.0,1.0,0.5,10,얼음 저장고·단열 문·냉기 장치·체온 회복,맨발톱,1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
icesteel_ore,얼음강철 원석,지하 심층 T3,91,135,2,hard,-1,4.0,2.0,12,용광로 제련→얼음강철 주괴(발톱 T3·모루·장갑),무쇠 발톱(하드),2,0,1,1,경도 2 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=hard
frost_essence,서리정수,지하 심층 T3,91,135,2,hard,-1,6.0,3.0,4,냉기 장치·서리발톱 장갑(최희소),무쇠 발톱(하드),2,0,1,1,경도 2 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=hard
clay,점토,지하 상층 T1,1,45,1,none,1.2,0.6,0.3,10,용광로·점토 미장·옹기 화분(v7),맨발톱,1,1,1,1,경도 1 = 정본 min_claw_tier 승격. 규칙 `발톱 티어 >= 경도`(GDD 4-4). gate=none
oyster_mushroom,느타리,지하 상층 T1,1,45,1,none,2.0,1.0,0.5,7,회복 HP+15 · 냉장 보관,맨발톱,1,1,1,1,[가안] 버섯 — 맨손으로 뜯는다. 경도 1
shiitake,표고,지하 중층 T2,46,90,1,none,2.5,1.25,0.6,5,회복 HP+30 · 냉장 보관,맨발톱,1,1,1,1,[가안] 버섯 — 맨손으로 뜯는다. 경도 1
seogi,석이(石茸),지하 심층 T3,91,135,1,none,3.0,1.5,0.75,3,회복 HP+50 · 냉장 보관 · 최희소,맨발톱,1,1,1,1,[가안] 버섯 — 맨손으로 뜯는다. 경도 1
